data,hora_utc,precipitacao_mm,pressao_mb,radiacao_kj,temp_c,umidade_pct,vento_vel_ms,vento_dir_graus,cidade,arquivo_origem,data_hora_utc,hora,faixa_climatica
2024/01/01,0000 UTC,0.0,935.9,,23.5,64.0,2.6,97.0,Chapeco,INMET_S_SC_A895_CHAPECO_01-01-2024_A_31-12-2024.CSV,2024-01-01 00:00:00,0,Ameno Seco
2024/01/01,0100 UTC,0.0,936.7,,22.9,65.0,1.9,94.0,Chapeco,INMET_S_SC_A895_CHAPECO_01-01-2024_A_31-12-2024.CSV,2024-01-01 01:00:00,1,Ameno Seco
2024/01/01,0200 UTC,0.0,937.2,,22.2,72.0,3.0,122.0,Chapeco,INMET_S_SC_A895_CHAPECO_01-01-2024_A_31-12-2024.CSV,2024-01-01 02:00:00,2,Ameno Seco
2024/01/01,0300 UTC,0.0,936.8,,22.4,71.0,3.7,112.0,Chapeco,INMET_S_SC_A895_CHAPECO_01-01-2024_A_31-12-2024.CSV,2024-01-01 03:00:00,3,Ameno Seco
2024/01/01,0400 UTC,0.0,936.3,,21.6,77.0,5.0,114.0,Chapeco,INMET_S_SC_A895_CHAPECO_01-01-2024_A_31-12-2024.CSV,2024-01-01 04:00:00,4,Ameno Seco
2024/01/01,0500 UTC,0.0,936.0,,20.5,80.0,3.8,92.0,Chapeco,INMET_S_SC_A895_CHAPECO_01-01-2024_A_31-12-2024.CSV,2024-01-01 05:00:00,5,Ameno Seco
2024/01/01,0600 UTC,0.0,935.1,,20.7,76.0,2.5,62.0,Chapeco,INMET_S_SC_A895_CHAPECO_01-01-2024_A_31-12-2024.CSV,2024-01-01 06:00:00,6,Ameno Seco
2024/01/01,0700 UTC,0.0,935.1,,20.7,75.0,1.9,66.0,Chapeco,INMET_S_SC_A895_CHAPECO_01-01-2024_A_31-12-2024.CSV,2024-01-01 07:00:00,7,Ameno Seco
2024/01/01,0800 UTC,0.0,935.3,,20.1,78.0,2.9,54.0,Chapeco,INMET_S_SC_A895_CHAPECO_01-01-2024_A_31-12-2024.CSV,2024-01-01 08:00:00,8,Ameno Seco
2024/01/01,0900 UTC,0.0,935.8,15.1,19.7,80.0,2.6,86.0,Chapeco,INMET_S_SC_A895_CHAPECO_01-01-2024_A_31-12-2024.CSV,2024-01-01 09:00:00,9,Ameno Seco
2024/01/01,1000 UTC,0.0,936.2,417.0,20.8,75.0,4.3,98.0,Chapeco,INMET_S_SC_A895_CHAPECO_01-01-2024_A_31-12-2024.CSV,2024-01-01 10:00:00,10,Ameno Seco
2024/01/01,1100 UTC,0.0,936.9,1017.7,22.2,71.0,3.7,93.0,Chapeco,INMET_S_SC_A895_CHAPECO_01-01-2024_A_31-12-2024.CSV,2024-01-01 11:00:00,11,Ameno Seco
2024/01/01,1200 UTC,0.0,937.0,2076.4,23.0,69.0,3.6,74.0,Chapeco,INMET_S_SC_A895_CHAPECO_01-01-2024_A_31-12-2024.CSV,2024-01-01 12:00:00,12,Ameno Seco
2024/01/01,1300 UTC,0.0,937.0,2838.5,25.0,65.0,2.6,45.0,Chapeco,INMET_S_SC_A895_CHAPECO_01-01-2024_A_31-12-2024.CSV,2024-01-01 13:00:00,13,Ameno Seco
2024/01/01,1400 UTC,0.0,936.9,3422.7,26.5,56.0,2.7,330.0,Chapeco,INMET_S_SC_A895_CHAPECO_01-01-2024_A_31-12-2024.CSV,2024-01-01 14:00:00,14,Quente Seco
2024/01/01,1500 UTC,0.0,936.2,3889.6,28.0,55.0,2.9,319.0,Chapeco,INMET_S_SC_A895_CHAPECO_01-01-2024_A_31-12-2024.CSV,2024-01-01 15:00:00,15,Quente Seco
2024/01/01,1600 UTC,0.0,935.6,4235.6,28.5,55.0,2.4,314.0,Chapeco,INMET_S_SC_A895_CHAPECO_01-01-2024_A_31-12-2024.CSV,2024-01-01 16:00:00,16,Quente Seco
2024/01/01,1700 UTC,0.0,934.7,4005.4,29.1,52.0,3.8,313.0,Chapeco,INMET_S_SC_A895_CHAPECO_01-01-2024_A_31-12-2024.CSV,2024-01-01 17:00:00,17,Quente Seco
2024/01/01,1800 UTC,0.0,934.3,3183.0,29.7,49.0,2.4,299.0,Chapeco,INMET_S_SC_A895_CHAPECO_01-01-2024_A_31-12-2024.CSV,2024-01-01 18:00:00,18,Quente Seco
2024/01/01,1900 UTC,0.0,933.7,2248.6,29.6,48.0,1.8,249.0,Chapeco,INMET_S_SC_A895_CHAPECO_01-01-2024_A_31-12-2024.CSV,2024-01-01 19:00:00,19,Quente Seco
2024/01/01,2000 UTC,0.0,932.8,2215.8,28.8,47.0,2.8,205.0,Chapeco,INMET_S_SC_A895_CHAPECO_01-01-2024_A_31-12-2024.CSV,2024-01-01 20:00:00,20,Quente Seco
2024/01/01,2100 UTC,0.0,932.5,1321.6,28.8,47.0,3.4,223.0,Chapeco,INMET_S_SC_A895_CHAPECO_01-01-2024_A_31-12-2024.CSV,2024-01-01 21:00:00,21,Quente Seco
2024/01/01,2200 UTC,0.0,932.9,479.0,27.2,46.0,2.7,209.0,Chapeco,INMET_S_SC_A895_CHAPECO_01-01-2024_A_31-12-2024.CSV,2024-01-01 22:00:00,22,Quente Seco
2024/01/01,2300 UTC,0.0,933.5,13.4,26.7,47.0,1.5,86.0,Chapeco,INMET_S_SC_A895_CHAPECO_01-01-2024_A_31-12-2024.CSV,2024-01-01 23:00:00,23,Quente Seco
2024/01/02,0000 UTC,0.0,934.1,,24.7,64.0,2.1,11.0,Chapeco,INMET_S_SC_A895_CHAPECO_01-01-2024_A_31-12-2024.CSV,2024-01-02 00:00:00,0,Ameno Seco
2024/01/02,0100 UTC,0.0,934.4,,25.2,58.0,1.8,75.0,Chapeco,INMET_S_SC_A895_CHAPECO_01-01-2024_A_31-12-2024.CSV,2024-01-02 01:00:00,1,Quente Seco
2024/01/02,0200 UTC,0.0,934.6,,24.5,65.0,1.1,83.0,Chapeco,INMET_S_SC_A895_CHAPECO_01-01-2024_A_31-12-2024.CSV,2024-01-02 02:00:00,2,Ameno Seco
2024/01/02,0300 UTC,0.0,934.2,,24.0,67.0,2.9,58.0,Chapeco,INMET_S_SC_A895_CHAPECO_01-01-2024_A_31-12-2024.CSV,2024-01-02 03:00:00,3,Ameno Seco
2024/01/02,0400 UTC,0.0,933.6,,23.9,63.0,3.7,52.0,Chapeco,INMET_S_SC_A895_CHAPECO_01-01-2024_A_31-12-2024.CSV,2024-01-02 04:00:00,4,Ameno Seco
2024/01/02,0500 UTC,0.0,933.2,,23.7,62.0,3.3,55.0,Chapeco,INMET_S_SC_A895_CHAPECO_01-01-2024_A_31-12-2024.CSV,2024-01-02 05:00:00,5,Ameno Seco
2024/01/02,0600 UTC,0.0,932.9,,23.3,63.0,4.6,40.0,Chapeco,INMET_S_SC_A895_CHAPECO_01-01-2024_A_31-12-2024.CSV,2024-01-02 06:00:00,6,Ameno Seco
2024/01/02,0700 UTC,0.0,933.0,,22.8,65.0,4.1,35.0,Chapeco,INMET_S_SC_A895_CHAPECO_01-01-2024_A_31-12-2024.CSV,2024-01-02 07:00:00,7,Ameno Seco
2024/01/02,0800 UTC,0.0,933.0,,22.6,67.0,4.1,35.0,Chapeco,INMET_S_SC_A895_CHAPECO_01-01-2024_A_31-12-2024.CSV,2024-01-02 08:00:00,8,Ameno Seco
2024/01/02,0900 UTC,0.0,934.1,11.7,21.7,72.0,2.4,358.0,Chapeco,INMET_S_SC_A895_CHAPECO_01-01-2024_A_31-12-2024.CSV,2024-01-02 09:00:00,9,Ameno Seco
2024/01/02,1000 UTC,0.0,934.2,160.6,21.8,73.0,5.0,25.0,Chapeco,INMET_S_SC_A895_CHAPECO_01-01-2024_A_31-12-2024.CSV,2024-01-02 10:00:00,10,Ameno Seco
2024/01/02,1100 UTC,0.0,934.6,749.6,23.1,69.0,2.6,72.0,Chapeco,INMET_S_SC_A895_CHAPECO_01-01-2024_A_31-12-2024.CSV,2024-01-02 11:00:00,11,Ameno Seco
2024/01/02,1200 UTC,0.0,934.7,1905.8,24.1,67.0,3.2,335.0,Chapeco,INMET_S_SC_A895_CHAPECO_01-01-2024_A_31-12-2024.CSV,2024-01-02 12:00:00,12,Ameno Seco
2024/01/02,1300 UTC,0.2,935.4,327.6,19.5,93.0,2.6,272.0,Chapeco,INMET_S_SC_A895_CHAPECO_01-01-2024_A_31-12-2024.CSV,2024-01-02 13:00:00,13,Ameno Chuvoso
2024/01/02,1400 UTC,0.8,936.0,237.4,19.1,95.0,5.2,211.0,Chapeco,INMET_S_SC_A895_CHAPECO_01-01-2024_A_31-12-2024.CSV,2024-01-02 14:00:00,14,Ameno Chuvoso
2024/01/02,1500 UTC,0.6,935.5,440.4,19.6,94.0,2.7,189.0,Chapeco,INMET_S_SC_A895_CHAPECO_01-01-2024_A_31-12-2024.CSV,2024-01-02 15:00:00,15,Ameno Chuvoso
2024/01/02,1600 UTC,0.0,934.7,1348.9,22.0,84.0,1.2,192.0,Chapeco,INMET_S_SC_A895_CHAPECO_01-01-2024_A_31-12-2024.CSV,2024-01-02 16:00:00,16,Ameno Seco
2024/01/02,1700 UTC,0.0,934.0,2904.0,24.2,73.0,2.3,243.0,Chapeco,INMET_S_SC_A895_CHAPECO_01-01-2024_A_31-12-2024.CSV,2024-01-02 17:00:00,17,Ameno Seco
2024/01/02,1800 UTC,0.0,933.5,2907.2,24.9,69.0,4.1,297.0,Chapeco,INMET_S_SC_A895_CHAPECO_01-01-2024_A_31-12-2024.CSV,2024-01-02 18:00:00,18,Ameno Seco
2024/01/02,1900 UTC,0.0,933.2,1516.9,24.5,72.0,4.2,304.0,Chapeco,INMET_S_SC_A895_CHAPECO_01-01-2024_A_31-12-2024.CSV,2024-01-02 19:00:00,19,Ameno Seco
2024/01/02,2000 UTC,0.0,932.5,1905.6,25.6,67.0,3.3,304.0,Chapeco,INMET_S_SC_A895_CHAPECO_01-01-2024_A_31-12-2024.CSV,2024-01-02 20:00:00,20,Quente Seco
2024/01/02,2100 UTC,0.0,932.1,854.1,25.7,67.0,1.6,302.0,Chapeco,INMET_S_SC_A895_CHAPECO_01-01-2024_A_31-12-2024.CSV,2024-01-02 21:00:00,21,Quente Seco
2024/01/02,2200 UTC,0.0,932.8,383.1,24.3,73.0,2.0,208.0,Chapeco,INMET_S_SC_A895_CHAPECO_01-01-2024_A_31-12-2024.CSV,2024-01-02 22:00:00,22,Ameno Seco
2024/01/02,2300 UTC,0.0,933.5,42.4,23.1,80.0,3.6,146.0,Chapeco,INMET_S_SC_A895_CHAPECO_01-01-2024_A_31-12-2024.CSV,2024-01-02 23:00:00,23,Ameno Seco
2024/01/03,0000 UTC,0.0,933.6,,22.0,85.0,4.3,130.0,Chapeco,INMET_S_SC_A895_CHAPECO_01-01-2024_A_31-12-2024.CSV,2024-01-03 00:00:00,0,Ameno Seco
2024/01/03,0100 UTC,0.0,934.0,,21.7,85.0,2.6,103.0,Chapeco,INMET_S_SC_A895_CHAPECO_01-01-2024_A_31-12-2024.CSV,2024-01-03 01:00:00,1,Ameno Seco
